from_id,to_id,edge_type
98,94,part_of
34,88,part_of
21,3,part_of
88,49,part_of
82,79,part_of
99,32,part_of
44,79,part_of
39,44,part_of
97,7,part_of
74,42,part_of
28,1,part_of
54,62,part_of
97,51,part_of
22,8,part_of
99,64,part_of
5,64,part_of
57,83,part_of
30,83,part_of
34,90,part_of
90,52,part_of
99,91,part_of
39,30,part_of
3,21,part_of
20,12,part_of
17,64,part_of
88,13,part_of
79,13,part_of
70,7,part_of
50,55,part_of
59,32,part_of
98,42,part_of
93,38,part_of
16,90,part_of
18,38,part_of
67,70,part_of
70,33,part_of
1,38,part_of
1,9,part_of
54,52,part_of
