from_id,to_id,edge_type
41,58,reference
11,18,reference
37,90,reference
69,46,reference
61,52,reference
3,64,reference
13,50,reference
43,50,reference
82,100,reference
44,52,reference
46,48,reference
90,75,reference
34,95,reference
96,6,reference
59,62,reference
42,45,reference
48,4,reference
3,27,reference
91,11,reference
16,12,reference
2,33,reference
52,12,reference
72,85,reference
81,39,reference
77,23,reference
48,10,reference
63,38,reference
14,6,reference
5,47,reference
13,72,reference
38,52,reference
95,82,reference
71,16,reference
7,82,reference
31,55,reference
