from_id,to_id,edge_type
34,100,topic_association
4,36,topic_association
86,53,topic_association
65,51,topic_association
51,31,topic_association
67,54,topic_association
40,20,topic_association
94,76,topic_association
30,28,topic_association
31,27,topic_association
74,49,topic_association
93,31,topic_association
90,95,topic_association
25,86,topic_association
99,87,topic_association
98,12,topic_association
52,93,topic_association
37,87,topic_association
41,14,topic_association
30,94,topic_association
77,51,topic_association
75,98,topic_association
4,67,topic_association
90,93,topic_association
19,40,topic_association
65,97,topic_association
65,26,topic_association
37,26,topic_association
25,77,topic_association
94,99,topic_association
79,52,topic_association
3,34,topic_association
