from_id,to_id,edge_type
26,6,update_dependency
29,18,update_dependency
30,22,update_dependency
54,92,update_dependency
81,50,update_dependency
15,38,update_dependency
72,7,update_dependency
43,89,update_dependency
61,53,update_dependency
81,32,update_dependency
36,32,update_dependency
11,7,update_dependency
21,93,update_dependency
60,58,update_dependency
35,75,update_dependency
58,12,update_dependency
31,52,update_dependency
67,97,update_dependency
69,65,update_dependency
8,67,update_dependency
20,40,update_dependency
80,22,update_dependency
37,23,update_dependency
52,61,update_dependency
16,40,update_dependency
38,26,update_dependency
65,61,update_dependency
35,65,update_dependency
5,20,update_dependency
